"age","education.num","occupation","race","sex","hours.per.week","income","marital.statusN","educationN","workclassN","native.countryN"
52,9," Other-service"," White"," Male",44," <=50K"," Unmaried"," School"," Private"," United-States"
76,12," Sales"," White"," Male",44," >50K"," Maried"," Bachelors"," Self employed"," United-States"
40,13," Transport-moving"," Amer-Indian-Eskimo"," Male",57," >50K"," Maried"," Bachelors"," Private"," United-States"
76,12," Prof-specialty"," White"," Male",44," >50K"," Maried"," Bachelors"," Gov"," United-States"
36,13," Exec-managerial"," White"," Male",58," <=50K"," Seperated"," Post-Graduate"," Self employed"," United-States"
24,12," Prof-specialty"," White"," Female",40," <=50K"," Unmaried"," Bachelors"," Private"," United-States"
40,8," Adm-clerical"," White"," Female",35," >50K"," Maried"," School"," Private"," United-States"
42,10," Adm-clerical"," Asian-Pac-Islander"," Female",39," >50K"," Seperated"," School"," Gov"," Other"
37,12," Exec-managerial"," Asian-Pac-Islander"," Male",39," >50K"," Maried"," Bachelors"," Private"," Other"
52,8," Sales"," White"," Male",55," <=50K"," Maried"," School"," Self employed"," Other"
47,14," Sales"," Asian-Pac-Islander"," Male",59," <=50K"," Maried"," Post-Graduate"," Private"," Other"
19,7," Handlers-cleaners"," White"," Male",39," <=50K"," Seperated"," School"," Private"," United-States"
21,10," Other-service"," Black"," Female",39," <=50K"," Unmaried"," School"," Private"," United-States"
52,12," Farming-fishing"," White"," Male",50," <=50K"," Maried"," School"," Self employed"," United-States"
43,9," Adm-clerical"," Black"," Female",39," >50K"," Seperated"," School"," Private"," United-States"
19,9," Craft-repair"," White"," Male",20," <=50K"," Unmaried"," School"," Private"," United-States"
30,12," Sales"," Black"," Female",7," <=50K"," Seperated"," Bachelors"," Private"," United-States"
44,15," Prof-specialty"," White"," Female",57," >50K"," Maried"," Post-Graduate"," Self employed"," United-States"
64,10," Protective-serv"," Black"," Female",35," <=50K"," Seperated"," School"," Gov"," United-States"
37,3," Machine-op-inspct"," White"," Female",36," <=50K"," Maried"," Post-Graduate"," Private"," United-States"
52,12," Prof-specialty"," White"," Male",44," >50K"," Maried"," Bachelors"," Gov"," United-States"
32,15," Sales"," White"," Male",65," >50K"," Maried"," Bachelors"," Self employed"," United-States"
37,12," Adm-clerical"," White"," Female",40," <=50K"," Unmaried"," Bachelors"," Private"," United-States"
44,9," Tech-support"," White"," Female",30," <=50K"," Seperated"," School"," Private"," United-States"
37,9," Tech-support"," Other"," Female",33," <=50K"," Maried"," School"," Private"," United-States"
42,9," Protective-serv"," White"," Female",49," <=50K"," Seperated"," School"," Self employed"," United-States"
31,10," Craft-repair"," White"," Male",39," <=50K"," Unmaried"," Assoc_Degree"," Private"," United-States"
24,10," Tech-support"," White"," Male",29," <=50K"," Unmaried"," School"," Private"," United-States"
25,10," Tech-support"," White"," Female",39," <=50K"," Unmaried"," Assoc_Degree"," Private"," United-States"
38,9," Sales"," Amer-Indian-Eskimo"," Male",58," >50K"," Maried"," School"," Private"," Other"
46,11," Protective-serv"," Amer-Indian-Eskimo"," Male",58," >50K"," Maried"," Assoc_Degree"," Self employed"," United-States"
46,9," Craft-repair"," Black"," Female",39," <=50K"," Seperated"," School"," Gov"," United-States"
40,12," Prof-specialty"," Asian-Pac-Islander"," Male",34," <=50K"," Unmaried"," School"," Gov"," United-States"
63,9," Other-service"," Black"," Female",29," <=50K"," Seperated"," School"," Self employed"," United-States"
28,9," Other-service"," Black"," Female",68," <=50K"," Unmaried"," School"," Private"," United-States"
20,9," Other-service"," White"," Female",29," <=50K"," Unmaried"," School"," Private"," United-States"
43,9," Sales"," White"," Male",39," >50K"," Maried"," School"," Private"," United-States"
52,12," Transport-moving"," Black"," Male",57," <=50K"," Maried"," Assoc_Degree"," Self employed"," United-States"
41,9," Adm-clerical"," White"," Female",39," <=50K"," Unmaried"," School"," Private"," United-States"
50,12," Craft-repair"," White"," Male",39," >50K"," Seperated"," Bachelors"," Private"," United-States"
26,8," Prof-specialty"," White"," Male",44," >50K"," Maried"," School"," Gov"," United-States"
23,2," Other-service"," Asian-Pac-Islander"," Female",39," <=50K"," Unmaried"," School"," Private"," Other"
36,12," Adm-clerical"," White"," Female",43," <=50K"," Seperated"," Bachelors"," Private"," United-States"
18,8," Adm-clerical"," White"," Female",39," <=50K"," Unmaried"," School"," Private"," Other"
46,12," Adm-clerical"," White"," Female",39," >50K"," Seperated"," Bachelors"," Gov"," United-States"
41,8," Craft-repair"," Black"," Male",53," <=50K"," Maried"," School"," Gov"," United-States"
45,8," Other-service"," Asian-Pac-Islander"," Female",49," <=50K"," Maried"," School"," Private"," Other"
41,9," Craft-repair"," Black"," Male",39," <=50K"," Unmaried"," School"," Gov"," United-States"
30,12," Prof-specialty"," White"," Male",39," >50K"," Unmaried"," Bachelors"," Gov"," United-States"
49,12," Machine-op-inspct"," Black"," Female",39," <=50K"," Maried"," Assoc_Degree"," Private"," United-States"
42,9," Craft-repair"," White"," Male",43," >50K"," Maried"," School"," Private"," United-States"
38,8," Other-service"," Black"," Male",39," <=50K"," Unmaried"," School"," Private"," United-States"
42,12," Adm-clerical"," White"," Male",40," <=50K"," Unmaried"," Bachelors"," Unemployed"," United-States"
46,9," Craft-repair"," White"," Male",43," >50K"," Maried"," School"," Private"," United-States"
35,10," Machine-op-inspct"," White"," Male",39," <=50K"," Maried"," Assoc_Degree"," Private"," United-States"
23,12," Other-service"," Black"," Female",35," <=50K"," Seperated"," Bachelors"," Private"," United-States"
42,9," Craft-repair"," White"," Male",43," >50K"," Maried"," School"," Private"," United-States"
18,7," Other-service"," White"," Female",29," <=50K"," Unmaried"," School"," Private"," United-States"
71,12," Prof-specialty"," White"," Male",63," <=50K"," Seperated"," Bachelors"," Self employed"," United-States"
54,14," Exec-managerial"," White"," Male",39," >50K"," Maried"," Bachelors"," Self employed"," United-States"
53,8," Other-service"," Black"," Female",40," <=50K"," Seperated"," School"," Gov"," United-States"
23,12," Handlers-cleaners"," White"," Female",39," <=50K"," Unmaried"," Bachelors"," Private"," United-States"
53,7," Sales"," White"," Male",39," >50K"," Maried"," School"," Self employed"," United-States"
